User Pool Size,Compression Algorithm,File Size,Block Count
1000,none,367240,3
1000,deflate,315102,3
1000,brotli,315122,3
1000,brotli,315347,3
1000,deflate,296342,3
1000,brotli,319724,3
1000,deflate,296160,3
1000,brotli,326845,3
1000,deflate,293384,3
1000,brotli,323369,3
10000,deflate,296792,15
1000,none,367208,3
1000,none,366456,3
1000,gzip,369352,3
10000,none,1839960,15
10000,none,1834632,15
10000,none,1838216,15
10000,none,1843608,15
10000,brotli,1482340,15
10000,gzip,1493358,15
10000,gzip,1567764,15
10000,brotli,1587607,15
10000,gzip,2665542,15
10000,gzip,1489930,15
10000,deflate,1591749,15
10000,deflate,1583573,15
10000,deflate,1583302,15
10000,deflate,1593643,15
